"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-04-30,2949,"Lackawanna","PA","Scranton",259,126600,0.00876494023904383,0.0111821086261981,0.0275974025974026,0.00825755647344062,-0.00117717650276616,"2008-03","2008-Q1",131100,-0.034324942791762,"2007-03"
2017-04-30,2188,"Cherokee","GA","Atlanta",260,213600,-0.00326644890340644,-0.00233535730966838,0.0728277247614264,0.0655508282652857,0.0152496703541602,"2017-02","2017-Q1",214700,-0.00512342803912436,"2017-01"
2017-04-30,1480,"Warren","OH","Cincinnati",261,198700,-0.00996512207274539,0.0148110316649642,0.0608649225840897,0.0461138135318746,0.00539044785371656,"2017-03","2017-Q1",200700,-0.00996512207274539,"2017-02"
2017-04-30,235,"Linn","IA","Cedar Rapids",262,136200,0.0164179104477612,0.0279245283018868,-0.00656455142231947,0.0153681831329271,0.00321318464534315,"2016-07","2016-Q3",140100,-0.0278372591006424,"2016-03"
2017-04-30,2112,"Yavapai","AZ","Prescott",263,266400,0.00263455024463681,0.00718336483931947,0.103105590062112,0.0882978165294361,-0.0110140328905199,"2007-02","2007-Q1",298500,-0.107537688442211,"2005-09"
2017-04-30,2583,"Trumbull","OH","Youngstown",264,83500,0.00240096038415366,0.0108958837772397,0.0636942675159236,0.0309401746774964,-0.00386849699259562,"2006-02","2006-Q1",91300,-0.0854326396495071,"2003-09"
2017-04-30,2252,"Dona Ana","NM","Las Cruces",265,137200,0.000729394602479942,0.00219138056975895,0.0155440414507772,-0.00217235941029259,-0.0132643816020585,"2009-06","2009-Q2",170700,-0.196250732278852,"2006-01"
2017-04-30,3070,"Washington","PA","Pittsburgh",266,143100,0,0.00139958012596221,0.0214132762312634,0.0300656262505727,0.0273110208286382,"2016-11","2016-Q4",143600,-0.00348189415041783,"2016-09"
2017-04-30,2619,"Arlington","VA","Washington",267,641500,-0.00635068153655514,-0.00588873392220672,0.0179308156140908,0.0370144609168179,0.0161008519096635,"2017-02","2017-Q1",648400,-0.0106415792720543,"2017-01"
2017-04-30,1032,"Gaston","NC","Charlotte",268,122300,0.00245901639344262,0.00741350906095552,0.0842198581560284,0.0496174560819802,0.0162430131297993,"2017-04","2017-Q2",122300,0,"2017-04"
2017-04-30,3219,"Richmond City","VA","Richmond",269,176200,0.00858614768174013,0.0364705882352941,0.136774193548387,0.0593040123970703,0.0148835930490792,"2017-04","2017-Q2",176200,0,"2017-04"
2017-04-30,553,"Henry","GA","Atlanta",270,154300,0.00194805194805195,0.00981675392670157,0.0475220638153428,0.0747581100232,-0.00479647015292117,"2006-12","2006-Q4",162600,-0.0510455104551046,"2005-10"
2017-04-30,1809,"Jackson","OR","Medford",271,259500,0.00659425911559348,0.026503164556962,0.098645215918713,0.0973285538525339,-0.00451034139830908,"2006-05","2006-Q2",284500,-0.0878734622144113,"2005-07"
2017-04-30,3048,"Washington","AR","Fayetteville",272,162300,0.00123380629241209,0.00495356037151703,0.0741230972865652,0.0441001428178149,0.00358156763643347,"2017-04","2017-Q2",162300,0,"2017-04"
2017-04-30,3109,"New Hanover","NC","Wilmington",273,211700,0.00953743443013829,0.03369140625,0.0906749098402885,0.056017618799024,-0.00620692389558319,"2007-03","2007-Q1",225900,-0.0628596724214254,"2006-04"
